iter	Passed	Remaining
398	248998	63029
399	249678	62419
400	250381	61814
401	251027	61195
402	251689	60580
403	252331	59959
404	252902	59322
405	253447	58679
406	253965	58031
407	254534	57394
408	255174	56774
409	255816	56154
410	256383	55518
411	257101	54914
412	257787	54303
413	258406	53678
414	258942	53036
415	259524	52404
416	260098	51770
417	260717	51145
418	261369	50527
419	261954	49896
420	262499	49257
421	263075	48625
422	263682	47999
423	264286	47372
424	264934	46753
425	265642	46144
426	266275	45522
427	266917	44901
428	267550	44279
429	268167	43655
430	268881	43046
431	269569	42432
432	270208	41810
433	270900	41196
434	271556	40577
435	272235	39961
436	272968	39352
437	273585	38726
438	274213	38102
439	274788	37471
440	275389	36843
441	275906	36204
442	276492	35575
443	277055	34943
444	277627	34313
445	278237	33687
446	278914	33070
447	279590	32452
448	280300	31838
449	280916	31212
450	281523	30586
451	282091	29956
452	282747	29335
453	283389	28713
454	283988	28086
455	284657	27466
456	285332	26847
457	285981	26225
458	286640	25604
459	287329	24985
460	288002	24364
461	288726	23748
462	289407	23127
463	290002	22500
464	290588	21872
465	291199	21246
466	291791	20619
467	292389	19992
468	293014	19367
469	293617	18741
470	294142	18110
471	294735	17484
472	295333	16858
473	295904	16231
474	296536	15607
475	297110	14980
476	297708	14354
477	298222	13725
478	298775	13098
479	299344	12472
480	299906	11846
481	300478	11221
482	301042	10595
483	301623	9971
484	302203	9346
485	302828	8723
486	303387	8098
487	303964	7474
488	304578	6851
489	305164	6227
490	305756	5604
491	306318	4980
492	306972	4358
493	307644	3736
494	308316	3114
495	309008	2492
496	309570	1868
497	310151	1245
498	310785	622
499	311336	0
