iter	MultiClass
249	0.3314119981
250	0.3305839037
251	0.3296484381
252	0.328695225
253	0.3278694926
254	0.3270041804
255	0.3259913377
256	0.3250944637
257	0.3241331111
258	0.323349901
259	0.3223881417
260	0.3214784642
261	0.3206493722
262	0.3197345989
263	0.3188948242
264	0.3179601887
265	0.3169307919
266	0.3155876884
267	0.3148321219
268	0.3139339747
269	0.3131099787
270	0.3123617226
271	0.3116101203
272	0.3049747694
273	0.30396806
274	0.3030554155
275	0.3020066923
276	0.300120513
277	0.299288229
278	0.2983939542
279	0.296972949
280	0.2931476094
281	0.2922043137
282	0.2914019226
283	0.2900598321
284	0.2888325711
285	0.2878616455
286	0.2871521636
287	0.2861805283
288	0.2848877634
289	0.2841581939
290	0.2835311677
291	0.2827427578
292	0.2819700644
293	0.2811840835
294	0.2804910671
295	0.2798099967
296	0.278800079
297	0.2780444689
298	0.2771700166
299	0.2762964426
300	0.2729727528
301	0.2683808615
302	0.2676490487
303	0.2670034814
304	0.2662871471
305	0.2653084047
306	0.2646915628
307	0.2640858352
308	0.2633796484
309	0.2616428567
310	0.2606597002
311	0.2569435106
312	0.2551790204
313	0.2545428938
314	0.2539258381
315	0.2534199198
316	0.2527664919
317	0.2522607263
318	0.2516443035
319	0.2510591397
320	0.2497715104
321	0.2490127042
322	0.2481654026
323	0.2476050179
324	0.2429261135
325	0.2423050449
326	0.2416588119
327	0.2411974272
328	0.2407171914
329	0.2398325334
330	0.2392533582
331	0.2387124877
332	0.2380985683
333	0.2374201497
334	0.2367847596
335	0.2356015077
336	0.2349576196
337	0.2342145365
338	0.2337156364
339	0.2330558769
340	0.2325653973
341	0.2313067061
342	0.2307183818
343	0.2301003121
344	0.2297170728
345	0.2292983568
346	0.2286809279
347	0.2282089928
348	0.2275146898
349	0.2270382948
350	0.2245827606
351	0.224061693
352	0.2232947034
353	0.2228288332
354	0.2224207552
355	0.2219463873
356	0.2197411319
357	0.2190162011
358	0.2186052856
359	0.2176368745
360	0.2164356965
361	0.2135400529
362	0.213049524
363	0.2118072909
364	0.2112346439
365	0.2086275767
366	0.2082156146
367	0.2061240295
368	0.2055359979
369	0.2049141287
370	0.2044649662
371	0.2020109584
372	0.2015830962
373	0.2008415643
374	0.2005184853
375	0.1999302128
376	0.1996317981
377	0.1992502609
378	0.1986351595
379	0.1982519039
380	0.1978047909
381	0.1973481227
382	0.1969512868
383	0.1963667416
384	0.1959747501
385	0.1956499678
386	0.1950890788
387	0.1945438297
388	0.1940750211
389	0.1937232829
390	0.1933669686
391	0.1927779909
392	0.1901284616
393	0.1897841173
394	0.1883037168
395	0.1866442144
396	0.1863110114
397	0.1859875821
398	0.185455223
399	0.1846867032
400	0.1841411699
401	0.18363574
402	0.1829996659
403	0.1825218144
404	0.1821620402
405	0.1818161526
406	0.1813751592
407	0.1810203412
408	0.1806790411
409	0.1804114489
410	0.1800426739
411	0.1796887066
412	0.1793723461
413	0.1790091556
414	0.1774204254
415	0.1771328978
416	0.1767480762
417	0.1762922089
418	0.1758956037
419	0.1749950056
420	0.1746859246
421	0.1742906994
422	0.1737302203
423	0.1727564808
424	0.1724946883
425	0.1722206982
426	0.1718296381
427	0.1715685992
428	0.1713150584
429	0.170341537
430	0.1680651188
431	0.1676038004
432	0.1673829043
433	0.1670387597
434	0.1666087351
435	0.1647436588
436	0.1643827196
437	0.1639275738
438	0.1620996307
439	0.1618723667
440	0.1616203773
441	0.1612970618
442	0.1609775707
443	0.160711619
444	0.1603997664
445	0.1600828072
446	0.1598563006
447	0.1596385559
448	0.1593881794
449	0.159154562
450	0.1588952324
451	0.1585216063
452	0.1583085969
453	0.1578994592
454	0.1575960506
455	0.157349673
456	0.1569407843
457	0.1566995344
458	0.1564022976
459	0.1560536264
460	0.1556819003
461	0.1554517796
462	0.1551101617
463	0.1547140919
464	0.1544956033
465	0.1542876033
466	0.1540371975
467	0.153812373
468	0.1534896238
469	0.1532198956
470	0.1530090765
471	0.1527042512
472	0.1524652893
473	0.1512549757
474	0.1508700952
475	0.150639207
476	0.1496795996
477	0.1493468
478	0.149004288
479	0.1471521806
480	0.1466704449
481	0.1463995163
482	0.1460392682
483	0.1458160023
484	0.1455570377
485	0.1453172101
486	0.1450646459
487	0.1446154612
488	0.1442290333
489	0.1439493372
490	0.1437702166
491	0.1418899002
492	0.1417108462
493	0.1415363681
494	0.1411367766
495	0.1408533206
496	0.1406373847
497	0.1404678006
498	0.139902857
499	0.1395940513
